cpv_code,name,description
30198000,Mašine za igre na sreću,Lottery machines
09240000,Proizvodi od nafte i uglja,Oil and coal-related products
44424200,Lepljiva traka,Adhesive tape
30199760,Oznake i nalepnice,Labels
22610000,Štamparske boje,Printing ink
98395000,Bravarske usluge,Locksmith services
34631400,Osovine točkova i pneumatika i drugi delovi lokomotiva ili šinskih vozila,Wheel axles and tyres and other parts of locomotives or rolling stock
48810000,Informacioni sistemi,Information systems
16810000,Delovi poljoprivrednih mašina,Parts of agricultural machinery
35811100,Vatrogasne uniforme,Fire-brigade uniforms
45212200,Radovi na izgradnji sportskih objekata,Construction work for sports facilities
15331130,"Pasulj, grašak, paprike, paradajz i drugo povrće","Beans, peas, peppers, tomatoes and other vegetables"
37410000,Oprema za sportove na otvorenom,Outdoor sports equipment
19640000,Vreće i kese za otpad od polietilena,Polythene waste and refuse sacks and bags
90510000,Odlaganje i prerada otpada,Refuse disposal and treatment
33181000,Uređaji za podržavanje renalne funkcije,Renal support devices
90731500,Usluge otkrivanja otrovnog gasa,Toxic gas detection services
72212422,Paket usluga izrade softvera,Software development services suites
34310000,Motori i delovi motora,Engines and engine parts
30194000,Pribor za crtanje,Drafting supplies
45247110,Izgradnja kanala,Canal construction
34111100,Karavan i kombi vozila,Estate cars
39143000,"Nameštaj za spavaću sobu, trpezariju i dnevni boravak","Bedroom, dining room and living-room furniture"
44618340,Poklopci,Lids
42131144,Ventili za regulaciju procesa,Process-control valves
79314000,Izrada studije izvodljivosti,Feasibility study
45252124,Radovi na iskopu rečnog dna i ispumpavanju vode iz iskopine,Dredging and pumping works
71310000,Savetodavne tehničke usluge i savetodavne usluge u građevinarstvu,Consultative engineering and construction services
71351612,Hidro-meteorološke usluge,Hydrometeorology services
48600000,Programski paket za baze podataka i operativni programski paket,Database and operating software package
79823000,Usluge štampanja i isporuke,Printing and delivery services
79954000,Usluge organizovanja proslava,Party organisation services
32000000,"Radio, televizijska, komunikaciona i srodna oprema","Radio, television, communication, telecommunication and related equipment"
45432113,Postavljanje parketa,Parquet flooring
42642100,Alatne mašine za obradu drveta,Machine tools for working wood
22820000,Obrasci,Forms
31214110,Rastavljači,Isolating switches
42514320,Gasni filteri,Gas filters
71610000,Usluge ispitivanja i analize sastava i čistoće,Composition and purity testing and analysis services
33711200,Preparati za šminkanje,Make-up preparations
45331200,Radovi na instalaciji ventilacije i klimatizacije,Ventilation and air-conditioning installation work
32562200,Optički telekomunikacioni kablovi,Optical telecommunication cables
42415200,Radna vozila,Works trucks
76440000,Usluge merenja bušotine,Well-logging services
42131100,Ventili definisani prema funkciji,Valves defined by function
79713000,Čuvarske službe,Guard services
09112100,Lignit,Lignite
50511100,Usluge popravke i održavanja pumpi za tečnosti,Repair and maintenance services of liquid pumps
31212100,Mrežni prekidači strujnih kola za nadzemne vodove,Overhead circuit breakers
15712000,Suva stočna hrana,Dry fodder
90913000,Usluge čišćenja cisterni i rezervoara,Tank and reservoir cleaning services
44167200,Sanacioni prstenovi i obujmice,Repair clamps and collars
48321000,Programski paket za projektovanje pomoću računara (CAD),Computer-aided design (CAD) software package
85311300,Usluge socijalne zaštite za decu i mlade,Welfare services for children and young people
90522400,Čišćenje i sanacija tla,Cleaning and treatment of soil
79212100,Usluge finansijske revizije,Financial auditing services
44811000,Boje za obeležavanje puteva,Road paint
71319000,Usluge veštačenja,Expert witness services
64216000,Usluge elektronskih poruka i informacija,Electronic message and information services
31520000,Lampe i druga svetleća tela,Lamps and light fittings
71322000,Usluge tehničkog projektovanja u građevinarstvu za niskogradnju,Engineering design services for the construction of civil engineering works
71351910,Geološke usluge,Geology services
72212200,"Usluge izrade softvera za umrežavanje, internet i intranet","Networking, Internet and intranet software development services"
30199000,Kancelarijski materijal od hartije i drugi artikli,Paper stationery and other items
50340000,Usluge popravke i održavanja audio-vizuelne i optičke opreme,Repair and maintenance services of audio-visual and optical equipment
15897300,Paketi hrane,Food parcels
39225710,Boce,Bottles
50113000,Usluge popravke i održavanja autobusa,Repair and maintenance services of buses
45212212,Radovi na izgradnji bazena za plivanje,Construction work for swimming pool
45231223,Pomoćni radovi na distribuciji gasa,Gas distribution ancillary work
14400000,So i čisti natrijum hlorid,Salt and pure sodium chloride
32412100,Telekomunikaciona mreža,Telecommunications network
15994200,Filter hartija,Filter paper
44165000,"Creva, uvodne cevi i naglavci","Hoses, risers and sleeves"
09210000,Preparati za podmazivanje,Lubricating preparations
79342311,Ispitivanje zadovoljstva korisnika,Customer satisfaction survey
44421300,Sefovi,Safes
32250000,Mobilni telefoni,Mobile telephones
33132000,Zubarski implanti,Dental implant
45236000,Radovi na površinskom sloju,Flatwork
30211300,Računarske platforme,Computer platforms
44530000,Vijci,Fasteners
16600000,Specijalne poljoprivredne ili šumarske mašine,Specialist agricultural or forestry machinery
30234000,Medijumi za smeštanje podataka,Storage media
33141111,Lepljivi zavoji,Adhesive dressings
50600000,Usluge popravke i održavanja odbrambenih i bezbednosnih sredstava,Repair and maintenance services of security and defence materials
42931000,Centrifuge,Centrifuges
16311100,"Kosilice za travnjake, parkove ili sportske terene","Lawn, park or sports-ground mowers"
39155100,Oprema za biblioteke,Library equipment
39143110,"Kreveti, posteljina i posebni mekani proizvodi od tekstila za unutrašnje opremanje",Beds and bedding and specialist soft furnishings
45232152,Radovi na izgradnji pumpnih stanica,Pumping station construction work
72422000,Usluge razvoja serverskih aplikacija za internet ili intranet,Internet or intranet server application development services
03142500,Jaja,Eggs
34134100,Kamioni sa platformom,Flatbed trucks
50882000,Usluge popravke i održavanja opreme za restorane,Repair and maintenance services of restaurant equipment
45222000,"Građevinsko-inženjerski radovi, izuzev mostova, tunela, okana i podzemnih železnica","Construction work for engineering works except bridges, tunnels, shafts and subways"
30132200,Mašina za brojanje novčanica,Banknote counting machines
30199711,Štampane koverte sa otvorom za adresu,Printed window envelopes
45233142,Radovi na popravljanju puteva,Road-repair works
77100000,Usluge u oblasti poljoprivrede,Agricultural services
71731000,Usluge industrijske kontrole kvaliteta,Industrial quality control services
66515000,Usluge osiguranja od štete ili gubitka,Damage or loss insurance services
